highwayid,stationid,agencyid,locationtext,lat,lon
2,3174,324,N. Columbia off-ramp (2DS080) @ SB I-5 MP305.9,45.58586,-122.68015
2,10318,318,Carman (2DS072) @ SB I-5 MP291.48,45.41019,-122.7436
2,3115,270,OR 99W (2DS053) @ SB I-5 MP294.05,45.44359,-122.74062
2,3173,257,N. Lombard off-ramp (2DS012) @ SB I-5 MP305.6,45.57877,-122.67886
2,3172,255,SB I-5 (2DS011) @ I-405 MP303.47,45.54731,-122.67889
2,1026,188,Jantzen Beach (2R009) to SB I-5,45.61181,-122.6786
2,1027,187,Marine Dr/99E (2R010) to SB I-5,45.60327,-122.68352
2,1147,186,Victory (2R021) to SB I-5,45.59298,-122.68354
2,1028,185,Columbia (2R011) to SB I-5,45.58637,-122.68043
2,1029,184,WB Lombard (2R013) to SB I-5,45.57815,-122.67901
2,1030,183,EB Lombard (2R012) to SB I-5,45.5769,-122.67924
2,1031,182,Rosa Parks (2R014) to SB I-5,45.56889,-122.67897
2,1032,181,Alberta (2R015) to SB I-5,45.55758,-122.67898
2,1033,180,Going (2R020) to SB I-5,45.55631,-122.67901
2,1034,179,Greeley (2DS112) to SB I-5,45.54406,-122.67563
2,1035,177,Wheeler (2R018) to SB I-5,45.53295,-122.66641
2,1108,176,Spring Garden (2R305) on SB I-5,45.46303,-122.70014
2,1107,175,Capitol (2R306) on SB I-5,45.45357,-122.71862
2,1105,174,99W (2R324) to SB I-5,45.4418,-122.74223
2,1131,173,Haines (2R323) to SB I-5,45.43716,-122.74443
2,3118,147,Miles (2DS055) @ SB I-5 MP297.6,45.47125,-122.67722
2,3116,146,Terwilliger (2DS054) @ SB I-5 MP297.3,45.47024,-122.68902
2,3192,102,Norwood (2DS052) @ SB I-5 MP287.46,45.35355,-122.76467
2,3113,101,N. Wilsonville (2DS051) @ SB I-5 MP285.28,45.32328,-122.76906
2,3120,90,N. Morrison Bridge (2DS070) @ SB I-5 MP301.32,45.52099,-122.66586
2,1038,87,Carman (2R322) to SB I-5,45.40657,-122.74455
2,1039,86,Lower Boones (2R321) to SB I-5,45.39565,-122.74824
2,1040,85,Nyberg (2R320) to SB I-5,45.38242,-122.75325
2,3182,84,Wilsonville Rd (2R399) to SB I-5,45.29981,-122.76967
2,3121,72,Broadway (2DS010) @ SB I-5 MP302.51,45.53625,-122.66727
2,1036,69,Hood (2R302) to SB I-5,45.49528,-122.67383
2,1096,67,Naito/Harbor (2R391) to SB I-5,45.50592,-122.67535
2,3185,45,Madison (2DS071) @ SB I-5 MP300.8,45.51348,-122.66793
2,3194,40,Corbett (2DS056) @ SB I-5 MP298.9,45.48839,-122.67668
1,1004,383,WB Nyberg Slip (2R312) to NB I-5,45.38279,-122.7511
1,1003,382,EB Nyberg Loop (2R313) to NB I-5,45.38188,-122.7521
1,10379,379,Greeley (2DS112) to NB I-5,45.54406,-122.67563
1,10356,356,WB Morrison (2R017) to NB I-5,45.51903,-122.66582
1,1013,355,Bertha (2R309) to NB I-5,45.46981,-122.6845
1,3124,325,N. Columbia off-ramp (2DS080) @ NB I-5 MP305.9,45.58586,-122.68015
1,10317,317,Carman (2DS072) @ NB I-5 MP291.48,45.41019,-122.7436
1,3123,256,N. Lombard off-ramp (2DS012) @ NB I-5 MP305.6,45.57877,-122.67886
1,3171,254,NB I-5 (2DS011) @ I-405 MP303.47,45.54731,-122.67889
1,1025,172,Jantzen Beach (2R008) to NB I-5,45.61181,-122.6786
1,1024,171,Marine Dr/99E (2R007) to NB I-5,45.6041,-122.68102
1,1023,170,Victory (2R006) to NB I-5,45.59644,-122.68373
1,1021,168,Rosa Parks (2R004) to NB I-5,45.57119,-122.67798
1,1020,167,Alberta (2R003) to NB I-5,45.56172,-122.67814
1,1019,166,Going (2R002) to NB I-5,45.5546,-122.67791
1,1018,165,Broadway (2R001) to NB I-5,45.53625,-122.66727
1,1012,159,Multnomah (2R304) to NB I-5,45.46537,-122.69498
1,1011,158,Spring Garden (2R305) to NB I-5,45.46213,-122.69942
1,1010,157,Capitol (2R306) to NB I-5,45.45293,-122.72042
1,1009,156,99W (2R307) to NB I-5,45.4429,-122.74179
1,1008,155,Haines (2R308) to NB I-5,45.43495,-122.7431
1,3167,154,Terwilliger (2DS054) @ NB I-5 MP297.3,45.47024,-122.68902
1,3117,153,Miles (2DS055) @ NB I-5 MP297.6,45.47125,-122.67722
1,1130,113,Wilsonville Rd (2R396) to NB I-5,45.30413,-122.76951
1,1001,103,EB Elligsen Loop (2R315) to NB I-5,45.33496,-122.76774
1,3191,100,Norwood (2DS052) @ NB I-5 MP287.46,45.35355,-122.76467
1,3165,99,N. Wilsonville (2DS051) @ NB I-5 MP285.28,45.32328,-122.76906
1,1007,83,OR 217/Kruse Way (2R317) to NB I-5,45.42213,-122.74224
1,1006,82,Carman (2R316) to NB I-5,45.40912,-122.74276
1,1005,81,Lower Boones (2R311) to NB I-5,45.39715,-122.74592
1,1002,78,WB Elligsen Slip (2R314) to NB I-5,45.3376,-122.76859
1,3169,71,Broadway (2DS010) @ NB I-5 MP302.52,45.53625,-122.66727
1,1015,68,Macadam (2R301) to NB I-5,45.50006,-122.67273
1,3193,49,Corbett (2DS056) @ NB I-5 MP298.9,45.48839,-122.67668
1,3168,47,N. Morrison Bridge (2DS070) @ NB I-5 MP301.32,45.52099,-122.66586
1,3032,44,Madison (2DS042) @ NB I-5 MP300.8,45.51348,-122.66793